t,resid2
92,-0.15597310777911577
93,0.051359168821926815
94,1.204526821118444
95,0.5573714952333972
96,1.4389718573085313
97,-0.014668606428466902
98,-1.3829609512098733
99,-0.6654664174650478
100,-0.8850809281729557
101,-0.02771905172534339
102,-2.0037986295477515
103,-0.7948641102894323
104,1.9987177065872643
105,1.4718157961781522
106,1.1362491093467977
107,1.0308230855862828
108,-1.08892999203041
109,-0.38978081412667276
110,-1.8961336787709833
111,-1.8473265457278965
112,-0.13933041258387924
113,-0.83557818279552
114,-0.1204564291526129
115,0.9282165861026979
116,0.9815647853179712
117,-0.6272717558270227
118,-0.794584331308414
119,1.3726594904544047
120,-0.9855231129750797
121,-1.0040586807817373
122,-1.2934407786245004
123,-0.836780281787167
124,0.1340249805650835
125,1.7234459137982565
126,1.0374298893260843
127,1.6063332285920957
128,1.7212511835641155
129,1.7828884384339183
130,0.7916867858221597
131,-0.38427035525193
132,-1.3681182192681316
133,-1.7615565784245506
134,-0.9776699268923537
135,0.05034951465305859
136,0.38472518617484397
137,-0.23607536860229672
138,1.6540910570772276
139,2.785453025670096
140,1.7619504013671907
141,0.5257337755386846
142,0.5530593019450976
143,1.7114787732804526
144,1.6466013446158918
145,1.82256863640756
146,1.186756913699801
147,1.3790907747809982
148,2.612456362479964
149,1.7541089559545
150,1.4941665506801467
151,1.4105601264002967
152,1.3786058230459766
153,-0.34013250067786593
154,-2.093324387639254
155,-2.550163082274082
156,-1.7043531012925328
157,-0.6832401093206659
158,-1.001094455484445
159,0.6692884631678133
160,0.40248383059767434
161,0.3667139643650419
162,0.12644833153744095
163,0.27508140585023
164,0.9578451285159186
165,1.4319389200180712
166,0.224274520756925
167,1.7414545740333445
168,0.2614910157193737
169,0.32661345413558784
170,0.022673330968943972
171,-0.9790352295680176
172,-0.7556039249919184
173,-1.2528819962442537
174,-0.8112778974808936
175,-0.14905446983089554
176,1.4172981442946657
177,1.4283590901771408
178,0.5188868762909173
179,0.05722988109563509
180,0.24342668716749394
181,0.3373986507031397
182,1.7748476977553054
183,2.7895397802071216
184,1.79711162168093
185,0.8639259364765071
186,-1.8435341676743082
187,-1.8651534194076227
188,-2.30966351533551
189,-2.0189712036578005
190,-1.0537016338204293
191,-0.5432997339593619
192,-0.366817009675934
193,-0.0040632126931470225
194,-0.05685611364139831
195,0.22752755205603847
196,-2.9864170034995112
197,-2.434272266363454
198,-1.8608793091795057
199,-1.6604039508109611
200,-1.385890342296749
201,-0.2579071203672587
202,-0.7124935174335363
203,1.7462157509588732
204,2.0786841688923
205,1.6342729368405653
206,1.1014510961522337
207,0.8228163680855758
208,-0.21410282589210006
209,-0.17084605505522887
210,0.23632421469165088
211,0.8434016514821465
212,1.2996995282802786
213,0.788197245802774
214,-0.7357925363771933
215,-1.1309636110895234
216,0.8547953875562264
217,1.6288215427722577
218,1.6837440677126665
219,0.5948637659878351
220,0.5439845750622734
221,-0.7526470231339975
222,-1.0205472761806291
223,-0.9138972963205667
224,-0.9495047659713762
225,0.3428731303459003
226,-1.0623296568734446
227,-1.5620964691334969
228,-2.4453356422014387
229,-2.9695886280338684
230,-2.000527622639531
231,-2.997386662462535
232,-1.3898799948017206
233,-1.1840929142006633
234,-0.7133068586486555
235,-0.10558727587926242
236,-0.4056992114168523
237,0.8367047085690835
238,0.5425268417116857
239,1.1111480591694978
240,0.7452729699006984
241,0.9616950587654323
242,1.113641543781183
243,1.1987503124747256
244,0.039145735552594374
245,0.5804675586635142
246,0.23246780198382488
247,0.9217546396977347
248,-1.3434200712848945
249,-2.3540822465303535
250,-1.2826754581403037
251,1.0212032917565903
252,1.722085151519428
253,0.731078500964502
254,-1.0209363324955092
255,0.10063281458321605
256,0.11938186732185407
257,0.8055727324473292
258,0.8456520212419978
259,0.7908973263818666
260,3.679655461643611
261,2.88231029178532
262,2.1320278018180776
263,1.6079541038260512
264,0.7536524246625547
265,1.6874374123470641
266,1.0447305602479435
267,1.5532390962336997
268,1.5841224580261457
269,2.5425094473235124
270,2.4633350597866315
271,0.7712315268321213
272,-0.6101074913558922
273,1.0895868117680987
274,0.3481192254039076
275,-0.9190316052602832
276,-1.217569112704373
277,0.49361327918448694
278,-0.9069965771812285
279,-1.402894538632454
280,-1.5742886791236206
281,-2.2863750135345136
282,-2.752735593746989
283,-3.43544503002418
284,-2.8897149094709764
285,-2.373297102025276
286,-2.312771433270063
287,-3.237695230833827
288,-1.023512657548853
289,-1.9444488679791192
290,-1.0271968489726255
291,-1.6912165042253413
292,-0.4453061501703157
293,0.7774837394307497
294,-0.13802814952910936
295,-1.869922573684315
296,-0.5484987073298253
297,1.6234240556442323
298,1.793101756687733
299,1.666051549691801
300,2.2308217182094854
